(-3.7614, 1.8811, 0.4594)
(-3.7614, 1.8758, 0.4686)
(-3.7676, 1.8887, 0.4907)
(-3.7775, 1.9162, 0.4869)
(-3.7851, 1.8979, 0.4976)
(-3.7569, 1.8918, 0.4831)
(-3.75, 1.859, 0.4739)
(-3.7958, 1.888, 0.4754)
(-3.7851, 1.8552, 0.5182)
(-3.8156, 1.8346, 0.5311)
(-3.7836, 1.8574, 0.5395)
(-3.7851, 1.8162, 0.538)
(-3.8027, 1.7537, 0.5319)
(-3.7927, 1.7498, 0.5243)
(-3.7813, 1.775, 0.5319)
(-3.7958, 1.7682, 0.5128)
(-3.8156, 1.7544, 0.5403)
(-3.7912, 1.7605, 0.5296)
(-3.8179, 1.7918, 0.4968)
(-3.7843, 1.7995, 0.4953)
(-3.8187, 1.7811, 0.4945)
(-3.8217, 1.7872, 0.4808)
(-3.8034, 1.8338, 0.4823)
(-3.8217, 1.7674, 0.4762)
(-3.8172, 1.7933, 0.4739)
(-3.8301, 1.8117, 0.4823)
(-3.7851, 1.8399, 0.4831)
(-3.7859, 1.8246, 0.4655)
(-3.766, 1.8292, 0.4846)
(-3.7775, 1.8124, 0.493)
(-3.7813, 1.8155, 0.467)
(-3.7622, 1.8223, 0.4632)
(-3.7767, 1.8132, 0.4525)
(-3.7767, 1.8521, 0.4716)
(-3.7737, 1.8155, 0.4625)
(-3.7462, 1.8231, 0.4823)
(-3.7431, 1.8048, 0.4678)
(-3.7309, 1.7987, 0.4892)
(-3.7233, 1.804, 0.4693)
(-3.7271, 1.8078, 0.4457)
(-3.7218, 1.8025, 0.4472)
(-3.7386, 1.8078, 0.4548)
(-3.721, 1.8086, 0.4876)
(-3.7126, 1.8078, 0.4853)
(-3.721, 1.8155, 0.4998)
(-3.7515, 1.785, 0.4922)
(-3.7515, 1.8147, 0.5128)
(-3.7775, 1.8346, 0.538)
(-3.7698, 1.8391, 0.5365)
(-3.7676, 1.8422, 0.5227)
(-3.7614, 1.8544, 0.5426)
(-3.7469, 1.8582, 0.5624)
(-3.7775, 1.8658, 0.5578)
(-3.7569, 1.8697, 0.5342)
